id,nombre,apellido,email,telefono,direccion,nacimiento,id_beca
1,Samuel,Mendoza,samuel_mendoza@yahoo.com,11-1303-3027,Diagonal San Juan N° 149,2005-08-18,1
2,Mateo Joaquin,Gonzalez,mateojoaquin_gonzalez@gmail.com,11-3352-3912,Blv. 124 B N° 192,2004-05-17,1
3,Martina,Aguero,martina_aguero@hotmail.com,11-5367-6206,Diagonal 8 N° 12,1996-01-21,1
4,Ian Ezequiel,Ledesma,ianezequiel_ledesma@gmail.com,11-1427-3983,Avenida 1 N° 721,1999-07-03,2
5,Camila,Gomez,camila_gomez@gmail.com,11-1940-5938,Diagonal Chilecito N° 2330,1995-09-13,2
6,Malena,Ojeda,malena_ojeda@yahoo.com,11-3390-2748,Avenida Ciudad Autónoma de Buenos Aires N° 3735,1995-06-30,1
7,Thiago Agustin,Muñoz,thiagoagustin_muñoz@hotmail.com,11-7671-1352,Diagonal Belgrano N° 2296,2001-06-29,2
8,Juan Martin,Gomez,juanmartin_gomez@gmail.com,11-7468-4774,Avenida 8 N° 862,2005-10-01,1
9,Victoria,Diaz,victoria_diaz@hotmail.com,11-2407-3211,Avenida San Luis N° 759,2007-02-26,1
10,Simon,Rodriguez,simon_rodriguez@hotmail.com,11-8510-7583,Calle 3 N° 243,2003-09-10,2
